"pred","lwr","upr","mgmtvar"
0.0496183206380288,0.0290259610020683,0.0835625791920066,"AE applied"
0.0590725609603249,0.0229473959163385,0.143703696158338,"AE.level basic"
0.0161351135769418,0.00209727589984019,0.113451043817303,"AE.level higher"
0.00577663046708363,2.38894686703382e-05,0.585590529579353,"reserve.desig applied"
0.00873127736389811,1.68623068654796e-05,0.821459176210118,"mowing applied"
0.0200082570541687,0.0004277616546379,0.493429962173277,"mowing reduced"
0.0970359311710996,0.0246885814146387,0.313289122627235,"grazing applied"
0.0123902064281448,0.00064113692519457,0.197002296863726,"grazing reduced"
0.119343135424465,0.00498974907088909,0.785504420396901,"fertpest applied"
0.0425623739554297,0.00165250625619454,0.544191494435376,"fertpest reduced"
0.000890348791541832,1.00936491190271e-06,0.440329517497419,"nest.protect applied"
0.00929279896250395,0.000440786186493704,0.166332101257779,"water applied"
0.171704109082646,0.012031655969446,0.779183405638616,"water reduced"
