"pred","lwr","upr","mgmtvar"
0.307382648009403,0.18072407078685,0.472029717709694,"AE applied"
0.204961358504264,0.109060880059228,0.351671459964803,"AE.level basic"
0.46655910992066,0.288196722639369,0.654432095302013,"AE.level higher"
0.466046829052004,0.313743413379684,0.625677490262821,"reserve.desig applied"
0.167418904040223,0.0375317056689591,0.5165386341962,"mowing applied"
0.24106313763206,0.11619218272129,0.438610305786447,"mowing reduced"
0.28950924562841,0.139023844312943,0.507193010188811,"grazing applied"
0.244528095430913,0.0808555826358259,0.545139299098373,"grazing reduced"
0.00984517123257142,2.95238596220584e-06,0.985081724189782,"fertpest applied"
0.778468082665407,0.00752465857612685,0.998467954540126,"fertpest reduced"
0.269674388195897,0.168782663380103,0.435844135066147,"nest.protect applied"
0.422971785107849,0.142535761552211,0.761453438014914,"water applied"
0.123711347384025,0.0122148600138096,0.617138884907791,"water reduced"
