"pred","lwr","upr","mgmtvar"
0.0496183206380288,0.0290259610020683,0.0835625791920066,"AE applied"
0.0590725585332654,0.022947377970151,0.143703783906757,"AE.level basic"
0.0161351082834576,0.00209729558793279,0.113450030574235,"AE.level higher"
0.00577663035965858,2.38877535293388e-05,0.585607944199864,"reserve.desig applied"
0.0087312852190188,1.6863740492504e-05,0.821446973102984,"mowing applied"
0.0200082656243496,0.000427774316397427,0.493422778887982,"mowing reduced"
0.0970359340554889,0.0246885062343159,0.313289808506459,"grazing applied"
0.0123902062158713,0.000641132949123099,0.197003273054687,"grazing reduced"
0.119343133115595,0.00498977337702602,0.785503588141799,"fertpest applied"
0.0425623722367787,0.00165251385046407,0.544190331701231,"fertpest reduced"
0.000890348965105337,1.00933214889913e-06,0.440337613002391,"nest.protect applied"
0.00929280046800965,0.000440779298227695,0.166334314554337,"water applied"
0.171704119089759,0.0120315807005989,0.779184519330127,"water reduced"
